Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
idle;39.32;0.80;42.96;0.80;38.18;0.80;;;;0.192;3873;2;8.516;;;0.001;183;0;20.02;
800000-threshold-40;42.67;0.80;43.59;0.80;41.15;0.80;;;;0.138;3900;2;21.244;;;0.001;457;0;23.53;
idle;39.20;0.80;40.97;0.80;37.22;0.80;;;;0.183;3571;2;8.273;;;0.001;215;0;20.02;
800000-threshold-45;42.92;0.80;43.72;0.80;41.40;0.80;;;;0.154;3450;2;21.894;;;0.001;138;0;22.57;
idle;39.08;0.80;41.19;0.80;37.46;0.80;;;;0.209;4396;2;8.108;;;0.001;121;0;20.02;
800000-threshold-50;42.91;0.80;44.91;0.80;41.21;0.80;;;;0.152;4464;2;21.982;;;0.002;732;0;23.27;
idle;39.20;0.80;40.57;0.80;38.11;0.80;;;;0.191;3974;2;8.484;;;0.001;120;0;20.02;
800000-threshold-55;42.94;0.80;43.59;0.80;41.14;0.80;;;;0.187;4949;2;21.665;;;0.002;583;0;23.05;
idle;39.38;0.80;40.66;0.80;38.31;0.80;;;;0.200;4235;2;8.489;;;0.001;122;0;20.02;
800000-threshold-60;42.77;0.80;43.50;0.80;41.42;0.80;;;;0.164;4416;2;21.712;;;0.002;566;0;22.90;
idle;38.99;0.80;40.43;0.80;37.31;0.80;;;;0.202;3658;2;7.824;;;0.001;127;0;20.02;
800000-threshold-65;42.80;0.80;43.45;0.80;41.08;0.80;;;;0.181;4484;2;21.627;;;0.002;668;0;23.46;
idle;39.16;0.80;40.43;0.80;37.84;0.80;;;;0.176;3624;2;8.086;;;0.001;300;0;20.02;
800000-threshold-70;42.82;0.80;44.30;0.80;41.23;0.80;;;;0.176;4532;2;21.496;;;0.002;624;0;23.24;
idle;39.31;0.80;40.45;0.80;37.93;0.80;;;;0.198;3894;2;8.248;;;0.001;94;0;20.01;
800000-threshold-75;42.83;0.80;44.04;0.80;40.87;0.80;;;;0.154;4615;2;21.494;;;0.002;969;0;22.80;
idle;39.47;0.80;41.28;0.80;37.82;0.80;;;;0.157;3456;2;8.480;;;0.001;127;0;20.02;
800000-threshold-80;42.93;0.80;43.74;0.80;41.43;0.80;;;;0.180;4934;2;22.097;;;0.002;769;0;22.34;
idle;39.19;0.80;40.26;0.80;37.65;0.80;;;;0.201;3609;2;8.014;;;0.001;102;0;20.02;
800000-threshold-85;42.74;0.80;43.95;0.80;41.36;0.80;;;;0.139;4146;2;21.490;;;0.002;825;0;23.27;
idle;39.12;0.80;41.41;0.80;37.31;0.80;;;;0.188;4365;2;8.167;;;0.001;109;0;20.02;
800000-threshold-90;42.79;0.80;43.81;0.80;41.19;0.80;;;;0.147;2942;2;21.083;;;0.001;190;0;22.83;
idle;39.52;0.80;41.64;0.80;37.82;0.80;;;;0.222;3638;2;8.743;;;0.001;130;0;20.01;
800000-threshold-95;42.91;0.80;43.58;0.80;41.23;0.80;;;;0.170;3675;2;21.596;;;0.001;159;0;22.91;
idle;39.21;0.80;40.30;0.80;37.40;0.80;;;;0.248;4325;2;8.070;;;0.001;123;0;20.02;
800000-threshold-100;42.77;0.80;43.70;0.80;41.29;0.80;;;;0.135;3654;2;21.285;;;0.001;169;0;23.62;
idle;39.31;0.80;40.58;0.80;37.30;0.80;;;;0.188;4064;2;8.154;;;0.001;134;0;20.02;
800000-threshold-105;43.01;0.80;43.80;0.80;41.20;0.80;;;;0.167;4035;2;22.347;;;0.001;175;0;22.73;
idle;39.22;0.80;40.87;0.80;37.07;0.80;;;;0.211;4121;2;8.104;;;0.001;91;0;20.02;
800000-threshold-110;42.81;0.80;43.55;0.80;41.24;0.80;;;;0.168;4053;2;21.396;;;0.001;600;0;22.96;
idle;39.33;0.80;40.52;0.80;38.24;0.80;;;;0.184;3618;2;8.048;;;0.001;122;0;20.02;
800000-threshold-115;42.99;0.80;43.86;0.80;41.12;0.80;;;;0.160;3599;2;21.761;;;0.001;177;0;22.76;
idle;39.28;0.80;41.22;0.80;37.28;0.80;;;;0.177;3641;2;7.975;;;0.001;97;0;20.02;
800000-threshold-120;43.05;0.80;44.74;0.80;41.26;0.80;;;;0.205;4555;2;21.941;;;0.002;870;0;22.36;
idle;39.24;0.80;40.20;0.80;37.51;0.80;;;;0.234;3805;2;8.195;;;0.001;118;0;20.02;
800000-threshold-125;42.96;0.80;43.90;0.80;40.91;0.80;;;;0.170;4301;2;21.706;;;0.002;727;0;22.45;
idle;39.12;0.80;40.42;0.80;37.92;0.80;;;;0.197;3788;2;8.018;;;0.001;109;0;20.02;
800000-threshold-130;43.09;0.80;43.97;0.80;40.95;0.80;;;;0.177;3665;2;22.382;;;0.001;146;0;21.70;
idle;39.25;0.80;40.52;0.80;37.59;0.80;;;;0.202;3282;2;8.222;;;0.001;120;0;20.02;
800000-threshold-135;42.96;0.80;43.81;0.80;41.20;0.80;;;;0.164;3627;2;21.340;;;0.001;286;0;22.96;
idle;39.21;0.80;41.02;0.80;37.97;0.80;;;;0.195;3460;2;7.975;;;0.001;112;0;20.02;
800000-threshold-140;43.14;0.80;44.28;0.80;41.33;0.80;;;;0.162;4338;2;22.210;;;0.002;706;0;21.43;
