Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
idle;38.83;1.32;39.94;1.39;37.72;1.26;;;;0.279;5104;2;5.173;;;0.000;111;0;20.01;
1600000-threshold-70;45.26;1.55;46.24;1.57;42.99;1.47;;;;0.200;2490;2;18.483;;;0.002;1116;0;12.65;
idle;38.73;1.35;41.24;1.41;37.30;1.29;;;;0.311;5045;2;5.141;;;0.001;124;0;20.02;
1600000-threshold-75;45.51;1.56;48.32;1.58;43.28;1.51;;;;0.230;2415;2;19.037;;;0.001;110;0;12.37;
idle;38.74;1.35;40.37;1.42;37.40;1.28;;;;0.284;5419;2;5.182;;;0.001;164;0;20.02;
1600000-threshold-80;45.36;1.56;46.70;1.58;43.38;1.50;;;;0.222;2243;2;18.693;;;0.001;139;0;12.37;
idle;39.02;1.34;41.84;1.43;37.86;1.29;;;;0.274;5076;2;5.409;;;0.001;158;0;20.02;
1600000-threshold-85;45.68;1.56;46.78;1.58;44.22;1.51;;;;0.222;2896;2;19.251;;;0.001;95;0;12.52;
idle;38.94;1.34;40.83;1.41;37.71;1.29;;;;0.323;5645;2;5.459;;;0.001;153;0;20.01;
1600000-threshold-90;45.22;1.55;46.42;1.58;43.05;1.47;;;;0.415;2681;2;18.460;;;0.001;182;0;12.34;
idle;39.29;1.35;42.91;1.41;37.56;1.25;;;;0.323;5117;2;5.799;;;0.001;127;0;20.01;
1600000-threshold-95;45.49;1.55;46.22;1.57;43.31;1.49;;;;0.257;2281;2;18.484;;;0.001;147;0;12.44;
idle;39.03;1.34;40.94;1.43;37.34;1.28;;;;0.308;5011;2;5.368;;;0.001;179;0;20.02;
1600000-threshold-100;45.31;1.54;46.25;1.57;42.88;1.40;;;;0.233;2197;2;18.673;;;0.001;300;0;12.30;
idle;39.20;1.34;42.36;1.46;37.67;1.26;;;;0.344;5757;2;5.423;;;0.001;171;0;20.02;
1600000-threshold-105;45.51;1.56;46.62;1.58;43.63;1.48;;;;0.268;3236;2;18.430;;;0.002;971;0;12.34;
idle;38.80;1.33;41.30;1.44;36.77;1.24;;;;0.257;4989;2;5.118;;;0.001;139;0;20.02;
1600000-threshold-110;45.12;1.56;46.32;1.57;43.20;1.53;;;;0.249;3215;2;18.548;;;0.001;128;0;12.70;
idle;39.43;1.35;42.32;1.45;37.66;1.28;;;;0.308;4934;2;5.740;;;0.001;138;0;20.02;
1600000-threshold-115;45.38;1.54;47.04;1.57;43.25;1.45;;;;0.288;2755;2;18.584;;;0.000;90;0;12.56;
idle;39.26;1.34;41.75;1.47;38.00;1.28;;;;0.261;4525;2;5.272;;;0.001;116;0;20.02;
1600000-threshold-120;45.48;1.55;46.75;1.57;43.36;1.49;;;;0.285;3333;2;18.986;;;0.001;152;0;12.36;
idle;39.13;1.34;40.04;1.41;37.25;1.26;;;;0.322;4580;2;5.278;;;0.001;112;0;20.02;
1600000-threshold-125;45.68;1.55;46.68;1.58;43.87;1.45;;;;0.255;2813;2;19.111;;;0.001;101;0;12.66;
idle;38.72;1.33;40.19;1.40;37.35;1.27;;;;0.311;4510;2;4.970;;;0.000;115;0;20.02;
1600000-threshold-130;45.69;1.55;47.43;1.59;44.17;1.50;;;;0.213;3405;2;19.127;;;0.002;991;0;12.13;
idle;39.43;1.33;41.38;1.43;38.01;1.24;;;;0.348;5119;2;5.440;;;0.001;537;0;20.02;
1600000-threshold-135;45.48;1.54;46.67;1.57;43.45;1.47;;;;0.236;2247;2;18.686;;;0.001;121;0;12.03;
idle;39.15;1.34;40.26;1.40;37.73;1.29;;;;0.315;5724;2;5.274;;;0.001;143;0;20.02;
1600000-threshold-140;45.63;1.55;46.60;1.57;44.14;1.48;;;;0.246;3055;2;18.982;;;0.003;923;0;11.75;
idle;39.11;1.32;40.63;1.38;37.98;1.25;;;;0.294;4796;2;5.218;;;0.001;124;0;20.02;
1600000-threshold-145;45.59;1.56;46.54;1.57;44.21;1.52;;;;0.247;3136;2;19.227;;;0.001;111;0;11.68;
idle;39.32;1.34;42.10;1.48;37.97;1.25;;;;0.289;4644;2;5.578;;;0.001;642;0;20.02;
1600000-threshold-150;45.76;1.56;48.63;1.58;44.43;1.51;;;;0.299;2350;2;18.993;;;0.001;89;0;11.68;
idle;39.08;1.34;40.47;1.42;37.71;1.28;;;;0.331;4895;2;5.299;;;0.000;107;0;20.02;
1600000-threshold-155;45.60;1.54;46.75;1.58;43.13;1.45;;;;0.271;2800;2;18.477;;;0.002;1017;0;11.63;
idle;39.17;1.34;40.10;1.40;38.31;1.27;;;;0.310;4818;2;5.457;;;0.000;111;0;20.02;
1600000-threshold-160;45.62;1.55;46.68;1.57;43.24;1.50;;;;0.372;2396;2;18.995;;;0.001;169;0;11.59;
idle;39.09;1.33;40.19;1.39;38.16;1.25;;;;0.330;4812;2;5.187;;;0.001;134;0;20.01;
1600000-threshold-165;45.72;1.55;46.99;1.59;43.80;1.49;;;;0.272;2742;2;19.117;;;0.002;957;0;11.24;
idle;39.22;1.34;41.59;1.46;37.70;1.27;;;;0.286;5293;2;5.723;;;0.001;126;0;20.01;
1600000-threshold-170;45.77;1.56;47.16;1.59;42.84;1.48;;;;0.231;3099;2;19.202;;;0.002;995;0;11.64;
idle;38.81;1.34;40.64;1.45;36.81;1.26;;;;0.296;4802;2;5.201;;;0.000;113;0;20.02;
1600000-threshold-175;45.51;1.56;47.51;1.59;43.22;1.49;;;;0.299;2807;2;19.270;;;0.002;1028;0;11.15;
idle;38.79;1.35;41.23;1.42;37.40;1.28;;;;0.307;5003;2;5.207;;;0.000;103;0;20.02;
1600000-threshold-180;45.64;1.56;46.57;1.58;43.37;1.50;;;;0.203;2678;2;19.018;;;0.001;421;0;11.66;
idle;38.57;1.34;40.41;1.42;37.24;1.24;;;;0.262;4471;2;5.078;;;0.000;102;0;20.02;
1600000-threshold-185;45.73;1.55;46.96;1.58;43.04;1.42;;;;0.281;2652;2;19.439;;;0.002;868;0;10.77;
idle;39.16;1.34;42.65;1.44;38.16;1.29;;;;0.312;4913;2;5.522;;;0.001;157;0;20.02;
1600000-threshold-190;45.76;1.55;47.34;1.59;42.71;1.44;;;;0.206;2809;2;19.613;;;0.002;966;0;11.06;
idle;39.00;1.34;40.03;1.41;37.73;1.28;;;;0.319;4926;2;5.324;;;0.001;143;0;20.02;
1600000-threshold-195;46.21;1.56;47.50;1.59;43.48;1.49;;;;0.229;2435;2;19.937;;;0.001;424;0;10.15;
idle;38.76;1.34;40.00;1.41;37.65;1.26;;;;0.255;4826;2;5.138;;;0.000;135;0;20.02;
1600000-threshold-200;46.24;1.56;47.10;1.58;44.02;1.50;;;;0.229;1832;2;19.859;;;0.000;58;0;9.98;
idle;38.90;1.33;40.28;1.39;37.77;1.27;;;;0.252;4258;2;5.210;;;0.000;119;0;20.01;
1600000-threshold-205;45.89;1.56;47.64;1.58;43.47;1.47;;;;0.207;2702;2;19.926;;;0.003;1002;0;10.03;
idle;39.24;1.35;42.57;1.46;37.47;1.25;;;;0.266;4762;2;5.546;;;0.001;128;0;20.02;
1600000-threshold-210;46.15;1.56;47.21;1.58;43.56;1.46;;;;0.227;2580;2;19.776;;;0.003;934;0;9.73;
idle;38.85;1.32;40.44;1.38;37.81;1.24;;;;0.266;4681;2;5.126;;;0.001;123;0;20.01;
1600000-threshold-215;46.13;1.56;47.57;1.59;43.34;1.50;;;;0.243;2148;2;20.084;;;0.001;86;0;9.72;
idle;38.88;1.32;40.35;1.44;37.29;1.25;;;;0.288;4899;2;5.021;;;0.000;107;0;20.02;
1600000-threshold-220;46.08;1.56;48.31;1.59;43.60;1.48;;;;0.213;2216;2;19.717;;;0.001;121;0;10.26;
idle;39.23;1.33;40.74;1.40;38.31;1.27;;;;0.322;4668;2;5.327;;;0.000;131;0;20.02;
1600000-threshold-225;46.08;1.56;46.84;1.58;43.39;1.45;;;;0.250;1813;2;20.059;;;0.001;101;0;9.83;
idle;39.20;1.34;43.45;1.44;37.93;1.28;;;;0.276;4801;2;5.552;;;0.000;109;0;20.01;
1600000-threshold-230;46.13;1.56;47.76;1.58;43.26;1.44;;;;0.223;2278;2;19.980;;;0.001;112;0;10.35;
idle;39.09;1.33;40.88;1.41;37.61;1.27;;;;0.342;4930;2;5.341;;;0.000;84;0;20.00;
1600000-threshold-235;46.24;1.55;47.58;1.58;43.65;1.48;;;;0.274;2679;2;20.180;;;0.002;832;0;10.08;
idle;39.25;1.32;40.50;1.37;38.21;1.25;;;;0.345;5571;2;5.257;;;0.001;130;0;20.02;
1600000-threshold-240;46.19;1.56;47.51;1.59;43.95;1.49;;;;0.270;2219;2;19.883;;;0.001;102;0;9.76;
idle;39.20;1.34;41.01;1.43;37.67;1.29;;;;0.291;4871;2;5.374;;;0.001;142;0;20.02;
1600000-threshold-245;45.85;1.56;47.77;1.58;43.54;1.49;;;;0.266;2434;2;19.832;;;0.001;172;0;9.38;
idle;39.21;1.35;40.94;1.44;37.94;1.28;;;;0.307;5144;2;5.513;;;0.000;116;0;20.02;
1600000-threshold-250;46.22;1.56;48.14;1.58;43.16;1.47;;;;0.281;1640;2;19.924;;;0.001;86;0;9.62;
idle;39.11;1.34;40.62;1.39;37.48;1.29;;;;0.289;5202;2;5.310;;;0.000;114;0;20.02;
1600000-threshold-255;46.01;1.55;47.51;1.58;43.29;1.47;;;;0.211;1730;2;19.843;;;0.001;140;0;9.26;
idle;39.00;1.33;40.35;1.40;37.54;1.24;;;;0.300;4732;2;5.107;;;0.001;137;0;20.02;
1600000-threshold-0;45.03;1.55;46.18;1.57;43.24;1.48;;;;0.279;3187;2;17.602;;;0.001;122;0;12.79;
idle;39.19;1.34;41.53;1.42;37.55;1.26;;;;0.276;4908;2;5.260;;;0.001;122;0;20.02;
1600000-threshold-5;45.70;1.53;48.66;1.58;43.08;1.47;;;;0.301;3461;2;19.339;;;0.002;709;0;12.49;
idle;39.19;1.33;41.58;1.42;37.50;1.25;;;;0.342;4921;2;5.388;;;0.001;125;0;20.02;
1600000-threshold-10;45.41;1.55;46.25;1.57;43.61;1.53;;;;0.265;2575;2;19.005;;;0.001;220;0;12.27;
idle;39.05;1.34;40.43;1.40;38.09;1.28;;;;0.291;5058;2;5.219;;;0.001;143;0;20.02;
1600000-threshold-15;45.52;1.55;46.73;1.57;43.84;1.51;;;;0.241;3168;2;18.997;;;0.002;841;0;12.48;
idle;39.01;1.33;39.91;1.42;38.24;1.27;;;;0.308;4507;2;5.059;;;0.000;98;0;20.02;
1600000-threshold-20;45.66;1.56;46.35;1.57;43.78;1.53;;;;0.223;2470;2;18.844;;;0.001;493;0;12.44;
idle;39.21;1.35;41.79;1.42;37.14;1.24;;;;0.310;5080;2;5.528;;;0.001;137;0;20.02;
1600000-threshold-25;45.53;1.55;46.05;1.57;44.63;1.51;;;;0.254;2847;2;18.689;;;0.002;1048;0;12.54;
idle;39.17;1.33;40.53;1.40;37.81;1.25;;;;0.319;5502;2;5.388;;;0.001;155;0;20.02;
1600000-threshold-30;45.28;1.55;46.75;1.58;43.07;1.46;;;;0.270;2416;2;18.511;;;0.001;149;0;12.13;
idle;39.34;1.33;41.43;1.43;37.69;1.26;;;;0.280;4862;2;5.487;;;0.001;131;0;20.02;
1600000-threshold-35;45.45;1.55;46.46;1.57;43.37;1.46;;;;0.232;2248;2;18.478;;;0.001;179;0;12.28;
idle;39.32;1.33;41.17;1.42;37.86;1.19;;;;0.281;4784;2;5.341;;;0.001;120;0;20.02;
1600000-threshold-40;45.38;1.55;47.25;1.57;43.36;1.51;;;;0.258;2396;2;18.644;;;0.001;221;0;12.20;
idle;39.28;1.36;42.30;1.45;38.05;1.32;;;;0.330;5333;2;5.599;;;0.000;127;0;20.02;
1600000-threshold-45;45.27;1.55;46.14;1.57;42.90;1.49;;;;0.308;3058;2;18.897;;;0.001;121;0;12.25;
idle;39.09;1.33;40.82;1.42;37.50;1.20;;;;0.327;5492;2;5.274;;;0.001;272;0;20.02;
1600000-threshold-50;45.72;1.55;47.05;1.57;43.73;1.50;;;;0.209;3347;2;19.185;;;0.002;928;0;12.57;
idle;39.18;1.34;40.36;1.42;37.63;1.25;;;;0.308;4572;2;5.263;;;0.001;139;0;20.02;
1600000-threshold-55;45.49;1.54;46.74;1.57;43.83;1.47;;;;0.213;2819;2;18.880;;;0.001;173;0;12.25;
idle;39.00;1.34;40.04;1.40;38.19;1.27;;;;0.305;4942;2;5.158;;;0.001;160;0;20.02;
1600000-threshold-60;45.72;1.55;46.56;1.58;43.93;1.44;;;;0.268;3077;2;19.151;;;0.002;886;0;12.70;
idle;39.21;1.35;42.54;1.43;38.06;1.29;;;;0.279;4500;2;5.435;;;0.001;132;0;20.02;
1600000-threshold-65;45.69;1.55;46.36;1.57;43.94;1.49;;;;0.289;2618;2;18.654;;;0.001;150;0;12.28;
idle;39.34;1.31;41.14;1.40;38.38;1.24;;;;0.312;5249;2;5.240;;;0.001;131;0;20.02;
1600000-threshold-70;45.41;1.55;46.22;1.58;44.12;1.47;;;;0.254;2564;2;18.685;;;0.001;510;0;12.11;
idle;39.18;1.35;40.59;1.38;38.37;1.30;;;;0.293;4469;2;5.405;;;0.001;140;0;20.02;
1600000-threshold-75;45.54;1.54;46.23;1.57;43.87;1.37;;;;0.261;2980;2;18.865;;;0.000;98;0;12.50;
idle;39.34;1.34;40.86;1.43;37.90;1.28;;;;0.354;5466;2;5.373;;;0.001;160;0;20.01;
1600000-threshold-80;45.74;1.54;48.80;1.58;43.72;1.39;;;;0.323;2856;2;19.241;;;0.001;127;0;12.38;
idle;39.23;1.33;40.22;1.40;37.60;1.25;;;;0.302;4907;2;5.341;;;0.001;150;0;20.02;
1600000-threshold-85;45.58;1.56;46.23;1.57;43.98;1.50;;;;0.226;2674;2;18.979;;;0.001;176;0;12.50;
idle;39.51;1.34;40.92;1.41;38.20;1.26;;;;0.325;4671;2;5.460;;;0.000;120;0;20.02;
1600000-threshold-90;45.53;1.55;46.36;1.57;43.84;1.48;;;;0.210;2780;2;18.432;;;0.002;1086;0;12.45;
idle;39.08;1.34;40.02;1.40;38.02;1.27;;;;0.202;4310;2;5.227;;;0.000;112;0;20.02;
1600000-threshold-95;45.42;1.55;46.23;1.58;42.98;1.46;;;;0.306;3075;2;18.692;;;0.002;763;0;12.40;
idle;39.52;1.35;44.64;1.42;37.03;1.25;;;;0.243;4735;2;5.755;;;0.001;102;0;20.02;
1600000-threshold-100;45.13;1.55;45.88;1.57;42.89;1.41;;;;0.220;2927;2;18.360;;;0.001;113;0;12.37;
idle;38.90;1.33;40.02;1.38;37.51;1.27;;;;0.314;5261;2;5.092;;;0.001;123;0;20.02;
1600000-threshold-105;45.72;1.55;46.52;1.57;43.70;1.52;;;;0.325;3110;2;19.261;;;0.001;100;0;12.38;
idle;39.19;1.34;41.51;1.42;38.00;1.27;;;;0.317;5020;2;5.301;;;0.001;145;0;20.00;
1600000-threshold-110;45.45;1.53;46.39;1.57;43.35;1.47;;;;0.246;2840;2;18.792;;;0.001;109;0;12.51;
idle;39.05;1.34;40.13;1.41;38.31;1.28;;;;0.289;5031;2;5.217;;;0.000;104;0;20.02;
1600000-threshold-115;45.68;1.55;46.58;1.57;43.83;1.47;;;;0.326;3207;2;19.091;;;0.001;140;0;12.48;
idle;39.35;1.34;42.74;1.42;37.60;1.26;;;;0.271;4520;2;5.495;;;0.001;105;0;20.02;
1600000-threshold-120;45.54;1.55;46.23;1.56;43.61;1.51;;;;0.240;2855;2;18.781;;;0.002;880;0;12.24;
idle;39.17;1.33;40.65;1.41;37.95;1.26;;;;0.261;4631;2;5.330;;;0.000;113;0;20.02;
1600000-threshold-125;45.58;1.55;46.75;1.57;44.28;1.50;;;;0.256;2985;2;18.935;;;0.002;926;0;12.20;
idle;39.04;1.34;40.51;1.41;37.03;1.26;;;;0.224;4054;2;5.433;;;0.001;141;0;20.01;
1600000-threshold-130;45.47;1.55;46.98;1.57;43.39;1.45;;;;0.222;2457;2;18.821;;;0.001;140;0;12.41;
idle;39.12;1.34;40.96;1.41;37.64;1.26;;;;0.336;5306;2;5.341;;;0.001;161;0;20.01;
1600000-threshold-135;45.80;1.56;47.94;1.57;43.70;1.53;;;;0.213;2085;2;19.225;;;0.001;88;0;12.33;
idle;39.19;1.34;41.23;1.43;37.17;1.27;;;;0.311;5223;2;5.504;;;0.000;134;0;20.02;
1600000-threshold-140;46.25;1.57;47.99;1.59;44.62;1.52;;;;0.226;2577;2;22.022;;;0.001;257;0;12.09;
idle;38.89;1.34;41.86;1.45;37.48;1.25;;;;0.349;4889;2;5.220;;;0.001;353;0;20.02;
1600000-threshold-145;45.54;1.56;46.40;1.58;43.22;1.49;;;;0.217;2924;2;19.245;;;0.003;1333;0;12.04;
idle;39.10;1.33;40.33;1.38;37.82;1.25;;;;0.298;5275;2;5.298;;;0.000;117;0;20.01;
1600000-threshold-150;45.44;1.55;46.67;1.58;43.23;1.47;;;;0.263;2747;2;18.913;;;0.001;76;0;12.10;
idle;39.25;1.34;43.03;1.43;37.31;1.27;;;;0.256;4531;2;5.604;;;0.001;132;0;20.02;
1600000-threshold-155;45.81;1.54;46.98;1.57;43.54;1.44;;;;0.261;3083;2;19.306;;;0.002;1032;0;11.64;
idle;39.03;1.33;40.10;1.42;38.01;1.28;;;;0.296;5292;2;5.164;;;0.001;320;0;20.02;
1600000-threshold-160;45.58;1.56;46.33;1.58;43.18;1.49;;;;0.227;2345;2;19.151;;;0.001;103;0;11.71;
idle;39.30;1.34;40.21;1.39;38.35;1.27;;;;0.296;5038;2;5.313;;;0.000;101;0;20.02;
1600000-threshold-165;45.61;1.55;47.30;1.58;42.88;1.45;;;;0.230;2384;2;19.323;;;0.001;179;0;11.40;
idle;39.17;1.33;40.14;1.39;37.99;1.28;;;;0.282;4680;2;5.140;;;0.001;125;0;20.02;
1600000-threshold-170;45.58;1.56;46.22;1.59;44.00;1.52;;;;0.220;2268;2;18.941;;;0.001;147;0;11.61;
idle;39.36;1.35;41.21;1.44;38.46;1.30;;;;0.290;4934;2;5.554;;;0.001;134;0;20.02;
1600000-threshold-175;45.72;1.56;46.86;1.59;43.70;1.50;;;;0.230;2379;2;19.367;;;0.001;105;0;11.33;
idle;39.18;1.34;41.03;1.40;37.76;1.28;;;;0.288;4477;2;5.217;;;0.000;113;0;20.02;
1600000-threshold-180;45.78;1.55;47.64;1.59;43.39;1.48;;;;0.244;2528;2;19.064;;;0.001;480;0;11.50;
idle;39.06;1.32;41.25;1.42;37.62;1.24;;;;0.292;4695;2;5.223;;;0.001;600;0;20.02;
1600000-threshold-185;46.06;1.56;46.99;1.58;44.12;1.50;;;;0.194;1807;2;19.173;;;0.001;118;0;11.36;
idle;39.23;1.34;40.47;1.42;37.99;1.27;;;;0.291;5065;2;5.356;;;0.000;116;0;20.02;
1600000-threshold-190;45.73;1.56;46.82;1.59;43.78;1.50;;;;0.242;2585;2;19.509;;;0.001;101;0;11.02;
idle;39.29;1.33;42.55;1.42;37.65;1.24;;;;0.312;4622;2;5.450;;;0.000;114;0;20.02;
1600000-threshold-195;46.01;1.56;47.74;1.59;43.04;1.49;;;;0.279;2439;2;19.943;;;0.001;150;0;10.36;
idle;39.31;1.33;40.05;1.37;38.31;1.26;;;;0.265;5056;2;5.290;;;0.001;144;0;20.02;
1600000-threshold-200;46.05;1.56;47.29;1.58;43.42;1.48;;;;0.200;2064;2;19.603;;;0.000;67;0;10.07;
idle;39.12;1.33;40.38;1.41;37.44;1.24;;;;0.276;4960;2;5.286;;;0.001;176;0;20.02;
1600000-threshold-205;45.92;1.56;47.33;1.58;42.64;1.49;;;;0.228;1804;2;19.784;;;0.001;66;0;10.37;
idle;39.36;1.34;41.01;1.39;37.63;1.26;;;;0.275;4143;2;5.461;;;0.001;131;0;20.02;
1600000-threshold-210;45.98;1.56;46.98;1.59;43.23;1.48;;;;0.253;2538;2;19.761;;;0.001;82;0;10.66;
idle;39.22;1.34;41.96;1.40;37.41;1.28;;;;0.258;4773;2;5.586;;;0.000;114;0;20.01;
1600000-threshold-215;45.92;1.56;47.38;1.58;42.76;1.47;;;;0.190;2474;2;19.810;;;0.002;969;0;10.11;
idle;39.16;1.33;42.92;1.43;37.77;1.26;;;;0.234;4703;2;5.256;;;0.000;114;0;20.02;
1600000-threshold-220;46.03;1.56;46.96;1.59;43.31;1.49;;;;0.156;1907;2;19.669;;;0.000;71;0;9.78;
idle;39.19;1.34;40.58;1.43;37.45;1.25;;;;0.295;4992;2;5.243;;;0.000;99;0;20.01;
1600000-threshold-225;45.86;1.56;47.07;1.59;43.13;1.49;;;;0.278;2270;2;19.583;;;0.002;917;0;10.13;
idle;39.44;1.34;41.75;1.38;38.38;1.30;;;;0.274;4753;2;5.467;;;0.001;127;0;20.02;
1600000-threshold-230;45.97;1.57;46.83;1.59;43.28;1.50;;;;0.253;2074;2;19.698;;;0.003;1192;0;10.02;
idle;39.53;1.33;42.85;1.45;38.02;1.26;;;;0.239;4502;2;5.677;;;0.001;132;0;20.02;
1600000-threshold-235;46.10;1.57;47.01;1.58;43.79;1.50;;;;0.285;2628;2;19.931;;;0.001;103;0;9.92;
idle;39.23;1.34;41.08;1.42;37.91;1.27;;;;0.266;5330;2;5.343;;;0.000;127;0;20.01;
1600000-threshold-240;46.18;1.57;46.87;1.59;44.29;1.49;;;;0.247;2434;2;20.170;;;0.001;100;0;9.49;
idle;39.00;1.34;40.20;1.39;36.57;1.22;;;;0.237;4422;2;5.302;;;0.001;127;0;20.01;
1600000-threshold-245;46.30;1.57;47.26;1.59;43.43;1.47;;;;0.229;2234;2;20.044;;;0.001;100;0;9.94;
idle;39.26;1.34;41.34;1.39;38.01;1.25;;;;0.256;5080;2;5.436;;;0.001;393;0;20.00;
1600000-threshold-250;45.99;1.57;47.39;1.58;43.64;1.50;;;;0.204;2422;2;20.344;;;0.003;1039;0;10.31;
idle;38.99;1.33;40.87;1.42;37.94;1.27;;;;0.252;4586;2;5.263;;;0.001;141;0;20.00;
1600000-threshold-255;46.19;1.56;47.61;1.59;43.17;1.44;;;;0.301;2923;2;19.989;;;0.003;881;0;9.59;
idle;49.08;1.37;51.21;1.46;38.42;1.30;;;;0.383;5834;2;4.884;;;0.001;155;0;20.02;
1700000-threshold-0;56.88;1.63;58.20;1.65;54.92;1.60;;;;0.239;2593;2;16.902;;;0.001;112;0;11.90;
idle;49.32;1.35;51.92;1.46;47.48;1.26;;;;0.292;5062;2;4.767;;;0.001;157;0;20.02;
1700000-threshold-5;57.18;1.63;58.05;1.66;55.03;1.59;;;;0.256;2953;2;18.061;;;0.001;164;0;11.34;
idle;49.96;1.38;52.33;1.45;48.70;1.32;;;;0.307;5457;2;4.970;;;0.001;161;0;20.02;
1700000-threshold-10;57.42;1.64;58.75;1.66;54.48;1.56;;;;0.283;3259;2;18.673;;;0.003;963;0;11.24;
idle;50.37;1.36;52.00;1.46;48.73;1.27;;;;0.347;4884;2;4.788;;;0.001;150;0;20.02;
1700000-threshold-15;57.34;1.64;58.64;1.66;55.67;1.61;;;;0.265;2500;2;18.061;;;0.001;106;0;11.46;
idle;50.31;1.36;52.18;1.44;47.45;1.26;;;;0.300;4830;2;4.940;;;0.001;147;0;20.02;
1700000-threshold-20;57.34;1.63;58.09;1.66;56.23;1.57;;;;0.303;2572;2;17.747;;;0.001;109;0;12.08;
idle;49.92;1.36;51.60;1.45;47.97;1.27;;;;0.316;4788;2;4.863;;;0.001;227;0;20.02;
1700000-threshold-25;56.37;1.64;57.18;1.67;54.77;1.56;;;;0.315;2879;2;18.045;;;0.001;110;0;11.44;
idle;49.67;1.37;50.86;1.45;48.34;1.29;;;;0.326;5275;2;4.942;;;0.001;239;0;20.00;
1700000-threshold-30;56.46;1.63;57.16;1.67;54.81;1.57;;;;0.362;2684;2;18.171;;;0.001;138;0;11.51;
idle;49.78;1.36;50.97;1.44;48.42;1.29;;;;0.382;5012;2;4.626;;;0.001;329;0;20.02;
1700000-threshold-35;56.59;1.63;57.58;1.67;53.99;1.54;;;;0.401;2956;2;18.142;;;0.001;508;0;11.48;
idle;49.63;1.36;51.58;1.44;48.14;1.28;;;;0.275;4655;2;4.709;;;0.001;266;0;20.00;
1700000-threshold-40;57.37;1.64;58.20;1.67;55.31;1.52;;;;0.287;3110;2;18.151;;;0.001;97;0;11.39;
idle;49.43;1.37;51.44;1.44;46.79;1.25;;;;0.304;5060;2;4.676;;;0.000;156;0;20.02;
1700000-threshold-45;57.32;1.63;58.99;1.66;54.45;1.56;;;;0.363;3117;2;18.303;;;0.003;1026;0;11.89;
idle;50.01;1.38;51.88;1.46;47.92;1.28;;;;0.368;5216;2;5.044;;;0.001;163;0;20.02;
1700000-threshold-50;56.33;1.63;57.56;1.67;54.15;1.46;;;;0.291;2639;2;18.107;;;0.001;127;0;11.38;
idle;49.46;1.35;51.38;1.45;48.45;1.29;;;;0.323;4840;2;4.628;;;0.001;190;0;20.00;
1700000-threshold-55;57.34;1.63;58.39;1.66;54.15;1.51;;;;0.278;2909;2;18.224;;;0.001;110;0;11.50;
idle;49.46;1.37;50.46;1.44;48.13;1.30;;;;0.347;5331;2;4.709;;;0.001;208;0;20.00;
1700000-threshold-60;57.49;1.64;58.75;1.66;56.14;1.59;;;;0.320;3635;2;18.241;;;0.003;1205;0;11.45;
idle;49.76;1.37;52.60;1.47;47.67;1.28;;;;0.302;4948;2;4.733;;;0.001;177;0;20.02;
1700000-threshold-65;57.43;1.63;58.03;1.65;55.36;1.55;;;;0.292;3227;2;18.422;;;0.003;1084;0;11.45;
idle;49.89;1.36;53.81;1.50;48.22;1.24;;;;0.297;5209;2;4.956;;;0.001;186;0;20.01;
1700000-threshold-70;57.28;1.63;58.65;1.66;55.01;1.57;;;;0.291;2720;2;17.970;;;0.001;534;0;11.49;
idle;49.85;1.35;52.19;1.43;48.14;1.24;;;;0.319;4924;2;4.730;;;0.001;169;0;20.02;
1700000-threshold-75;58.05;1.65;59.84;1.68;56.16;1.55;;;;0.334;2940;2;20.288;;;0.001;156;0;11.39;
idle;49.84;1.37;54.01;1.51;48.11;1.31;;;;0.380;5253;2;5.007;;;0.001;207;0;20.02;
1700000-threshold-80;56.38;1.64;57.14;1.66;54.91;1.56;;;;0.305;3028;2;17.991;;;0.001;105;0;11.65;
idle;49.32;1.35;51.74;1.47;47.56;1.28;;;;0.349;5006;2;4.800;;;0.001;153;0;20.01;
1700000-threshold-85;57.53;1.64;58.11;1.66;55.52;1.59;;;;0.303;2712;2;18.297;;;0.001;506;0;11.49;
idle;49.78;1.38;53.49;1.53;47.76;1.30;;;;0.372;5630;2;5.153;;;0.001;196;0;20.02;
1700000-threshold-90;57.35;1.64;58.25;1.66;55.53;1.58;;;;0.323;3083;2;17.975;;;0.002;1047;0;11.89;
idle;49.31;1.37;52.77;1.47;46.76;1.30;;;;0.317;5389;2;4.843;;;0.001;171;0;20.02;
1700000-threshold-95;57.64;1.62;58.64;1.66;55.75;1.50;;;;0.264;2396;2;18.284;;;0.001;99;0;11.52;
idle;49.49;1.36;51.33;1.45;47.38;1.28;;;;0.383;4934;2;4.782;;;0.001;166;0;20.02;
1700000-threshold-100;57.55;1.64;58.10;1.66;55.71;1.52;;;;0.299;2965;2;18.056;;;0.001;250;0;11.42;
idle;49.64;1.38;51.71;1.46;48.11;1.29;;;;0.305;5229;2;4.778;;;0.000;144;0;20.02;
1700000-threshold-105;57.50;1.64;58.36;1.68;55.42;1.54;;;;0.293;3078;2;18.196;;;0.002;1033;0;11.42;
idle;49.70;1.37;52.64;1.48;48.31;1.29;;;;0.335;4873;2;4.705;;;0.001;184;0;20.02;
