Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
1000000-threshold-150;44.94;1.00;45.95;1.00;41.90;0.97;;;;0.153;21637;2;23.477;;;0.001;3490;0;120.50;
idle;39.35;0.96;42.72;0.98;37.56;0.94;;;;0.225;3756;2;7.214;;;0.001;122;0;20.01;
1000000-threshold-0;46.41;1.00;48.56;1.00;43.47;0.99;;;;0.162;15872;2;30.762;;;0.002;3675;0;88.01;
idle;39.35;0.95;41.38;0.98;38.21;0.94;;;;0.223;3662;2;7.097;;;0.001;103;0;20.02;
1000000-threshold-50;47.01;1.00;49.66;1.00;43.68;0.99;;;;0.169;15527;2;32.515;;;0.002;3176;0;80.76;
idle;39.41;0.95;40.66;0.97;38.13;0.94;;;;0.238;4366;2;7.014;;;0.001;109;0;20.02;
1000000-threshold-100;46.85;1.00;49.71;1.00;43.54;1.00;;;;0.145;14953;2;32.113;;;0.002;2758;0;82.46;
idle;39.44;0.95;40.83;0.97;38.43;0.94;;;;0.216;3769;2;7.016;;;0.001;98;0;20.02;
1000000-threshold-150;46.82;1.00;49.33;1.00;42.50;0.99;;;;0.183;14866;2;32.223;;;0.002;3624;0;78.19;
idle;39.56;1.02;43.96;1.06;37.08;0.98;;;;0.231;4441;2;6.880;;;0.001;110;0;20.02;
1100000-threshold-0;47.14;1.10;49.42;1.10;42.18;1.07;;;;0.209;16652;2;31.292;;;0.002;3988;0;77.79;
idle;39.51;1.02;40.39;1.05;38.31;1.00;;;;0.235;4135;2;6.649;;;0.000;105;0;20.02;
1100000-threshold-50;47.19;1.10;50.48;1.10;41.86;1.06;;;;0.155;14048;2;30.641;;;0.002;3515;0;76.90;
idle;39.71;1.03;42.74;1.06;38.04;1.00;;;;0.228;4259;2;7.031;;;0.001;112;0;20.02;
1100000-threshold-100;51.60;1.10;54.50;1.10;43.95;1.10;;;;0.109;6179;2;48.435;;;0.003;2709;0;43.67;
idle;39.57;1.02;41.50;1.05;38.25;1.00;;;;0.189;4373;2;6.663;;;0.001;113;0;20.02;
1100000-threshold-150;47.23;1.10;50.33;1.10;41.79;1.06;;;;0.162;13987;2;30.846;;;0.002;3280;0;72.21;
idle;39.64;1.02;43.28;1.06;38.20;1.00;;;;0.241;4418;2;6.851;;;0.001;121;0;20.01;
1100000-threshold-0;50.81;1.10;52.65;1.10;43.22;1.08;;;;0.130;6963;2;45.340;;;0.003;2660;0;48.48;
idle;39.30;1.03;40.50;1.05;38.53;1.01;;;;0.211;4392;2;6.497;;;0.000;102;0;20.02;
1100000-threshold-50;47.41;1.10;49.98;1.10;41.77;1.06;;;;0.196;15166;2;31.871;;;0.002;3949;0;73.16;
idle;39.43;1.03;41.23;1.05;37.97;1.00;;;;0.229;4304;2;6.774;;;0.001;121;0;20.01;
1100000-threshold-100;47.41;1.10;51.26;1.10;43.16;1.09;;;;0.196;16133;2;32.178;;;0.003;4440;0;70.80;
idle;39.36;1.02;41.52;1.05;37.75;0.99;;;;0.277;4162;2;6.691;;;0.000;87;0;20.02;
1100000-threshold-150;47.49;1.10;50.39;1.10;44.07;1.09;;;;0.174;15032;2;31.273;;;0.002;3714;0;71.92;
idle;39.38;1.03;40.71;1.05;38.22;1.00;;;;0.196;4083;2;6.737;;;0.001;124;0;20.02;
1100000-threshold-0;47.12;1.10;50.27;1.10;43.02;1.07;;;;0.185;16820;2;31.688;;;0.002;4336;0;77.11;
idle;39.33;1.02;43.27;1.07;37.92;0.98;;;;0.190;4425;2;6.666;;;0.001;106;0;20.02;
1100000-threshold-50;47.29;1.10;50.57;1.10;43.63;1.10;;;;0.181;16167;2;31.905;;;0.002;5280;0;74.71;
idle;39.17;1.03;40.46;1.05;37.74;0.99;;;;0.217;3848;2;6.628;;;0.001;109;0;20.01;
1100000-threshold-100;47.29;1.10;50.51;1.10;42.25;1.06;;;;0.163;15040;2;31.808;;;0.002;3682;0;74.17;
idle;39.28;1.02;41.36;1.06;37.71;0.99;;;;0.207;3969;2;6.586;;;0.000;92;0;20.02;
1100000-threshold-150;51.90;1.10;54.54;1.10;44.54;1.10;;;;0.110;5790;2;48.960;;;0.003;2863;0;40.74;
idle;39.52;1.02;41.31;1.08;38.16;1.00;;;;0.216;3870;2;6.892;;;0.001;117;0;20.02;
1100000-threshold-0;50.49;1.10;52.07;1.10;43.19;1.07;;;;0.118;7099;2;45.064;;;0.003;2786;0;49.21;
idle;39.41;1.02;40.81;1.06;38.21;1.00;;;;0.227;4051;2;6.573;;;0.000;100;0;20.00;
1100000-threshold-50;51.60;1.10;53.79;1.10;44.02;1.09;;;;0.125;7029;2;48.460;;;0.003;2677;0;44.53;
idle;39.42;1.02;41.96;1.08;37.97;0.99;;;;0.245;3845;2;6.889;;;0.000;93;0;20.02;
1100000-threshold-100;47.12;1.10;49.76;1.10;43.13;1.10;;;;0.141;12222;2;30.976;;;0.003;4376;0;73.93;
idle;39.46;1.02;40.44;1.08;38.11;0.99;;;;0.177;3757;2;6.694;;;0.001;127;0;20.02;
1100000-threshold-150;47.51;1.10;50.39;1.10;41.86;1.06;;;;0.165;13641;2;31.938;;;0.002;3548;0;69.42;
idle;39.41;1.02;40.55;1.05;38.32;1.01;;;;0.238;4154;2;6.572;;;0.001;106;0;20.02;
1100000-threshold-0;50.62;1.10;51.96;1.10;44.34;1.08;;;;0.123;6408;2;45.842;;;0.002;2868;0;48.11;
idle;39.50;1.02;42.60;1.06;38.33;1.00;;;;0.237;3967;2;6.654;;;0.000;97;0;20.00;
1100000-threshold-50;45.30;1.10;47.37;1.10;42.82;1.06;;;;0.217;25761;2;24.042;;;0.002;4715;0;109.19;
idle;39.86;1.02;43.13;1.06;38.54;0.99;;;;0.253;4189;2;6.979;;;0.001;109;0;20.02;
1100000-threshold-100;47.39;1.10;50.69;1.10;42.14;1.05;;;;0.165;13562;2;30.633;;;0.002;3599;0;77.17;
idle;39.44;1.02;40.29;1.04;38.43;1.01;;;;0.214;3877;2;6.459;;;0.000;78;0;20.02;
1100000-threshold-150;47.29;1.10;50.64;1.10;43.74;1.10;;;;0.200;13851;2;30.375;;;0.002;3401;0;75.02;
idle;39.60;1.02;41.21;1.06;37.95;0.99;;;;0.293;4345;2;6.587;;;0.000;101;0;20.02;
1100000-threshold-0;45.25;1.10;47.74;1.10;43.66;1.07;;;;0.209;25436;2;24.009;;;0.001;4071;0;111.35;
idle;39.66;1.03;42.04;1.07;38.27;1.01;;;;0.257;4757;2;7.209;;;0.001;144;0;20.02;
1100000-threshold-50;45.37;1.10;48.17;1.10;43.73;1.10;;;;0.169;23210;2;23.992;;;0.002;3888;0;108.67;
idle;39.56;1.03;42.45;1.07;38.11;1.00;;;;0.190;3908;2;7.049;;;0.000;115;0;20.02;
1100000-threshold-100;47.50;1.10;50.36;1.10;42.45;1.05;;;;0.194;16538;2;31.803;;;0.002;4669;0;73.57;
idle;39.11;1.02;40.43;1.06;38.23;0.99;;;;0.227;4009;2;6.388;;;0.000;100;0;20.02;
