Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
800000-threshold-70;46.36;0.80;49.52;0.80;43.00;0.80;;;;0.132;7085;2;39.474;;;0.003;2339;0;40.08;
idle;39.50;0.80;40.88;0.80;37.64;0.80;;;;0.221;3884;2;8.105;;;0.001;110;0;20.02;
800000-threshold-75;46.60;0.80;49.47;0.80;42.58;0.80;;;;0.135;7791;2;39.910;;;0.003;2353;0;38.32;
idle;39.41;0.80;41.59;0.80;38.03;0.80;;;;0.208;3762;2;8.145;;;0.001;111;0;20.02;
800000-threshold-80;45.00;0.80;47.23;0.80;42.60;0.80;;;;0.172;12092;2;30.809;;;0.002;2796;0;57.16;
idle;39.48;0.80;41.24;0.80;37.27;0.80;;;;0.175;3981;2;8.088;;;0.001;120;0;20.02;
800000-threshold-85;46.68;0.80;48.17;0.80;43.17;0.80;;;;0.137;9177;2;39.257;;;0.003;2808;0;39.98;
idle;39.56;0.80;40.71;0.80;38.59;0.80;;;;0.216;4043;2;8.416;;;0.001;92;0;20.02;
800000-threshold-90;46.99;0.80;49.66;0.80;43.17;0.80;;;;0.126;8206;2;41.644;;;0.004;2994;0;36.94;
idle;39.69;0.80;41.22;0.80;38.26;0.80;;;;0.186;4102;2;8.543;;;0.001;117;0;20.01;
800000-threshold-95;46.73;0.80;48.03;0.80;43.97;0.80;;;;0.119;8676;2;39.741;;;0.003;2405;0;38.68;
idle;39.64;0.80;41.38;0.80;38.11;0.80;;;;0.211;4182;2;8.336;;;0.001;94;0;20.01;
800000-threshold-100;45.06;0.80;47.41;0.80;43.44;0.80;;;;0.139;11792;2;31.237;;;0.002;2485;0;55.08;
idle;39.38;0.80;40.30;0.80;37.11;0.80;;;;0.198;3682;2;7.903;;;0.001;108;0;20.02;
800000-threshold-105;46.70;0.80;47.64;0.80;43.35;0.80;;;;0.129;7790;2;39.148;;;0.003;2800;0;38.78;
idle;39.56;0.80;42.01;0.80;38.24;0.80;;;;0.176;4036;2;8.160;;;0.001;122;0;20.02;
800000-threshold-110;46.98;0.80;50.06;0.80;43.16;0.80;;;;0.111;7662;2;41.549;;;0.003;2547;0;37.70;
idle;39.54;0.80;40.48;0.80;38.22;0.80;;;;0.197;3700;2;8.075;;;0.001;98;0;20.02;
